Wall time,Step,Value,num_steps
1485993639.10871,601,0.1946492791,4
1485993639.3772,701,0.0178243518,4
1485993640.7031,1201,0.3084615469,4
1485993641.51452,1501,0.0662261844,4
1485993641.77576,1601,0.0387822986,4
1485993642.57567,1901,-0.0138602257,4
1485993643.10778,2101,0.1090783477,4
1485993644.17825,2501,-5.0663948059082E-05,4
1485993647.4056,3701,0.0353179574,4
1485993648.46546,4101,0.171587646,4
1485993648.99487,4301,0.3917321563,4
1485993649.53651,4501,0.5537252426,4
1485993649.80102,4601,0.440993011,4
1485993650.33653,4801,0.7453216314,4
1485993651.93631,5401,0.4615291953,4
1485993652.19975,5501,0.9680421352,4
1485993652.46766,5601,0.6844356656,4
1485993652.72591,5701,0.4142241478,4
1485993652.99522,5801,0.6550675631,4
1485993655.14034,6601,0.2594226599,4
1485993655.931,6901,0.5019911528,4
1485993656.72423,7201,0.4671325684,4
1485993656.98718,7301,0.0717318654,4
1485993657.24991,7401,0.413990438,4
1485993657.51257,7501,0.5729733706,4
1485993658.85575,8001,0.709045589,4
1485993660.99501,8801,0.6032863855,4
1485993661.2695,8901,0.7127460241,4
1485993662.89557,9501,0.3090583086,4
1485993665.04327,10301,0.5772416592,4
1485993665.84424,10601,0.5359624624,4
1485993666.11139,10701,0.3460863233,4
1485993667.98458,11401,0.4377554655,4
1485993668.78554,11701,0.3195582628,4
1485993669.33067,11901,0.2905759215,4
1485993671.46708,12701,0.2015411258,4
1485993672.26998,13001,0.5817357898,4
1485993672.53887,13101,0.4610064626,4
1485993674.9653,14001,0.4892495871,4
1485993675.50595,14201,0.2982171774,4
1485993675.80387,14301,0.5788324475,4
1485993676.07108,14401,0.180226028,4
1485993677.96754,15101,0.4012553096,4
1485993679.30888,15601,0.8426811099,4
1485993679.89187,15801,0.9045050144,4
1485993680.16312,15901,0.2840456963,4
1485993681.38434,16301,0.6670857668,4
1485993682.82355,16801,0.8079563975,4
1485993683.10031,16901,0.5639026165,4
1485993683.91899,17201,0.9294552803,4
1485993685.55276,17801,0.4874068499,4
1485993685.81933,17901,0.6850814819,4
1485993686.35614,18101,0.5296219587,4
1485993687.1558,18401,0.3976586461,4
1485993687.68859,18601,0.6572318673,4
1485993687.96067,18701,0.5714889765,4
1485993688.4965,18901,0.4810683727,4
1485993689.02986,19101,0.4371040463,4
1485993689.29515,19201,0.3493848443,4
1485993691.15701,19901,0.7056002617,4
1485993693.28896,20701,0.5022912025,4
1485993693.56231,20801,0.6244858503,4
1485993693.82646,20901,0.4061533213,4
1485993694.9092,21301,0.4983927608,4
1485993697.59871,22301,0.4978208542,4
1485993697.86484,22401,0.6479596496,4
1485993698.40031,22601,0.3292293549,4
1485993699.46588,23001,0.4432631731,4
1485993700.26442,23301,0.3632426858,4
1485993700.53128,23401,0.5496430397,4
1485993700.79879,23501,0.9589976072,4
1485993701.60392,23801,0.6175922155,4
1485993704.80445,25001,0.7363110781,4
1485993706.41021,25601,0.6423294544,4
1485993707.20699,25901,0.6853228211,4
1485993707.74641,26101,0.3671485186,4
1485993708.00981,26201,0.9497110844,4
1485993708.54083,26401,0.4544312358,4
1485993709.61049,26801,0.6015937328,4
1485993710.67559,27201,0.6023192406,4
1485993711.20951,27401,0.3679943085,4
1485993712.54767,27901,0.7155792713,4
1485993716.31275,29301,0.8576742411,4
1485993717.64203,29801,0.5753198266,4
1485993717.9072,29901,0.6563913822,4
1485993718.98971,30301,0.6494753361,4
1485993719.26759,30401,0.8058178425,4
1485993720.35312,30801,0.5147066116,4
1485993720.61856,30901,0.4808631539,4
1485993721.14967,31101,0.1703720689,4
1485993721.95781,31401,0.7937207222,4
1485993723.28601,31901,0.5261709094,4
1485993723.5643,32001,0.8821126223,4
1485993723.83133,32101,0.7846895456,4
1485993725.16091,32601,0.2465340495,4
1485993725.43998,32701,0.615398407,4
1485993725.71689,32801,0.9350637197,4
1485993726.52588,33101,0.9051809907,4
1485993728.94956,34001,0.5495231748,4
1485993729.49556,34201,0.7137494087,4
1485993731.10621,34801,0.779931128,4
1485993732.7279,35401,0.3190149069,4
1485993733.00087,35501,0.6503276229,4
1485993734.62641,36101,0.350679934,4
1485993735.42562,36401,0.9091022015,4
1485993736.48154,36801,0.8784806132,4
1485993737.5532,37201,0.5276468992,4
1485993738.08963,37401,0.7623478174,4
1485993739.15437,37801,0.1400204301,4
1485993739.42189,37901,0.4710775614,4
1485993739.68347,38001,0.9673722386,4
1485993740.21136,38201,0.4729977846,4
1485993741.5384,38701,0.7128870487,4
1485993742.88133,39201,0.9109731317,4
1485993743.15161,39301,0.9066263437,4
1485993743.41963,39401,0.6310261488,4
1485993747.45662,40901,0.5479977727,4
1485993749.31495,41601,0.738485992,4
1485993750.92142,42201,0.7585086226,4
1485993751.18886,42301,0.8178653717,4
1485993751.72215,42501,0.3718652129,4
1485993752.261,42701,0.4955269098,4
1485993753.31828,43101,0.2032893896,4
1485993755.72116,44001,0.6851169467,4
1485993756.25837,44201,0.5901141763,4
1485993756.51806,44301,0.9062131643,4
1485993757.31891,44601,0.9162650704,4
1485993758.94493,45201,0.8093414307,4
1485993761.10951,46001,0.4856670499,4
1485993761.37635,46101,0.6779321432,4
1485993762.18024,46401,0.8904540539,4
1485993762.44728,46501,0.089874208,4
1485993764.87207,47401,0.4257566929,4
1485993765.1389,47501,0.6494840384,4
1485993768.10616,48601,0.9285796285,4
1485993768.89812,48901,0.5328339338,4
1485993769.16567,49001,0.710508585,4
1485993769.69449,49201,0.8023074865,4
1485993770.2229,49401,0.4701032043,4
1485993773.94952,50801,0.6257608533,4
1485993775.30068,51301,0.8113143444,4
1485993775.84199,51501,0.9051182866,4
1485993776.63995,51801,0.7917943597,4
1485993777.16783,52001,0.8881655335,4
1485993778.51078,52501,0.7176524401,4
1485993778.77739,52601,0.9376806617,4
1485993780.37437,53201,0.3355219364,4
1485993780.89781,53401,0.9525711536,4
1485993781.16289,53501,0.7047679424,4
1485993781.69626,53701,0.8023819923,4
1485993781.96395,53801,0.404389441,4
1485993782.75755,54101,0.6540955305,4
1485993783.29071,54301,0.8066700101,4
1485993784.63253,54801,0.5720570087,4
1485993784.89825,54901,0.8637709618,4
1485993787.30172,55801,0.6042948961,4
1485993787.83228,56001,0.3183521628,4
1485993788.89251,56401,0.5486700535,4
1485993789.16027,56501,0.4230490327,4
1485993789.43066,56601,0.9352936745,4
1485993790.51273,57001,0.5686876774,4
1485993791.57576,57401,0.4245625138,4
1485993791.84087,57501,0.1986899376,4
1485993792.63833,57801,0.9406644702,4
1485993793.16638,58001,0.2279646397,4
1485993793.70991,58201,0.5665962696,4
1485993793.9828,58301,0.7444578409,4
1485993794.25671,58401,0.655875206,4
1485993794.52139,58501,0.180344522,4
1485993795.0555,58701,0.7806723714,4
1485993795.32878,58801,0.7133353353,4
1485993796.6625,59301,0.7781144381,4
1485993796.92807,59401,0.8807215691,4
1485993798.00991,59801,0.1325327158,4
1485993798.81182,60101,0.5737606883,4
1485993799.35377,60301,0.5605617762,4
1485993800.94861,60901,0.4973151088,4
1485993801.49139,61101,0.5464401245,4
1485993802.84051,61601,0.7045473456,4
1485993803.91537,62001,0.8694452643,4
1485993804.17927,62101,0.4718522429,4
1485993804.7054,62301,0.9389657378,4
1485993807.88991,63501,0.9460824132,4
1485993809.78143,64201,0.7328594923,4
1485993810.04943,64301,0.5231070518,4
1485993810.58561,64501,0.8179109097,4
1485993810.85385,64601,0.9401785731,4
1485993811.1364,64701,0.313041091,4
1485993811.40662,64801,0.5150456429,4
1485993811.93588,65001,0.9528328776,4
1485993812.722,65301,0.4711669087,4
1485993813.78262,65701,0.5470631123,4
1485993814.04806,65801,0.7042586803,4
1485993815.11999,66201,0.8461215496,4
1485993815.92377,66501,0.9403785467,4
1485993816.98195,66901,0.6082507372,4
1485993817.78162,67201,0.4268011451,4
1485993818.04887,67301,0.6279243231,4
1485993818.59349,67501,0.7270108461,4
1485993818.85915,67601,0.4760728478,4
1485993819.40192,67801,0.485979557,4
1485993819.66665,67901,0.2942835689,4
1485993819.93164,68001,0.1842588782,4
1485993820.7222,68301,0.946279645,4
1485993820.98748,68401,0.5303993225,4
1485993821.25854,68501,0.8704124093,4
1485993821.79019,68701,0.7130982876,4
1485993822.32879,68901,0.5679186583,4
1485993822.5926,69001,0.5335319042,4
1485993824.47732,69701,0.5397816896,4
1485993825.2782,70001,0.7266685963,4
1485993826.35329,70401,0.8981716633,4
1485993827.16237,70701,0.3221344352,4
1485993827.70015,70901,0.1955873966,4
1485993828.25015,71101,0.5235797167,4
1485993829.30827,71501,0.9397618771,4
1485993830.35065,71901,0.6033366919,4
1485993831.1408,72201,0.1818498969,4
1485993831.41781,72301,0.9883133173,4
1485993831.67966,72401,0.5175014734,4
1485993831.94327,72501,0.7901518345,4
1485993833.53998,73101,0.3807492852,4
1485993835.14247,73701,0.7326847315,4
1485993835.67181,73901,0.6717017889,4
1485993835.93824,74001,0.3848259449,4
1485993836.99608,74401,0.6671292186,4
1485993837.8072,74701,0.9393641353,4
1485993838.07359,74801,0.8969569206,4
1485993838.88969,75101,0.3473729491,4
1485993839.16353,75201,0.6638168097,4
1485993839.43394,75301,0.9711289406,4
1485993839.95991,75501,0.7224928737,4
1485993840.4892,75701,0.7170777321,4
1485993842.10442,76301,0.6419218779,4
1485993842.91584,76601,0.9142036438,4
1485993843.18771,76701,0.5823638439,4
1485993844.0075,77001,0.9108455181,4
1485993844.27546,77101,0.832608521,4
1485993844.54354,77201,0.799333334,4
1485993845.07614,77401,0.7950374484,4
1485993845.34124,77501,0.8249776959,4
1485993846.94774,78101,0.4481087327,4
1485993848.01945,78501,0.9486802816,4
1485993848.28695,78601,0.8276803493,4
